address,price,url,beds,baths,sqft,units,status,home_status,property_subtype,home_type,city,state,zipcode,latitude,longitude,zpid,monthly_rent,total_actual_rent,price_per_sqft,annual_property_tax,down_payment,loan_amount,monthly_mortgage_pi,monthly_taxes,monthly_insurance,monthly_vacancy,monthly_maintenance,monthly_management,monthly_capex,monthly_expenses,monthly_noi,monthly_cash_flow,cash_on_cash_return
"3758 S Merrivale Way, Meridian, ID 83642",899900,https://www.zillow.com/homedetails/3758-S-Merrivale-Way-Meridian-ID-83642/83165063_zpid/,4.0,4.0,3338,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.57088,-116.34998,83165063,2000.0,2000.0,269.59257040143797,10798.800000000001,179980.0,719920.0,4911.123475380524,899.9000000000001,262.4708333333333,100.0,100.0,160.0,100.0,6533.494308713856,377.6291666666666,-4533.494308713856,-30.226653908526657
"2545 E Cavern Dr, Meridian, ID 83642",899900,https://www.zillow.com/homedetails/2545-E-Cavern-Dr-Meridian-ID-83642/460318028_zpid/,4.0,4.0,3150,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.541935,-116.36279,460318028,2000.0,2000.0,285.6825396825397,10798.800000000001,179980.0,719920.0,4911.123475380524,899.9000000000001,262.4708333333333,100.0,100.0,160.0,100.0,6533.494308713856,377.6291666666666,-4533.494308713856,-30.226653908526657
"1090 E Crescendo St, Meridian, ID 83642",924777,https://www.zillow.com/homedetails/1090-E-Crescendo-St-Meridian-ID-83642/458486110_zpid/,4.0,4.0,3035,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55015,-116.38013,458486110,2000.0,2000.0,304.70411861614497,11097.324,184955.40000000002,739821.6,5046.887469932187,924.777,269.72662499999996,100.0,100.0,160.0,100.0,6701.391094932187,345.49637499999994,-4701.391094932187,-30.502863468266533
"3389 S Lyford Ave, Meridian, ID 83642",924900,https://www.zillow.com/homedetails/3389-S-Lyford-Ave-Meridian-ID-83642/122258667_zpid/,6.0,4.0,3846,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.574036,-116.349815,122258667,2000.0,2000.0,240.48361934477379,11098.800000000001,184980.0,739920.0,5047.558731391762,924.9000000000001,269.7625,100.0,100.0,160.0,100.0,6702.221231391762,345.33749999999986,-4702.221231391762,-30.504192224403255
"3106 E Mores Trl, Saint Meridian, ID 83642",925000,https://www.zillow.com/homedetails/3106-E-Mores-Trl-Saint-Meridian-ID-83642/456985292_zpid/,4.0,4.0,3696,1,New,FOR_SALE,,SINGLE_FAMILY,Saint Meridian,ID,83642,43.55461,-116.35585,456985292,2000.0,2000.0,250.27056277056278,11100.0,185000.0,740000.0,5048.104472415806,925.0,269.79166666666663,100.0,100.0,160.0,100.0,6702.896139082473,345.2083333333335,-4702.896139082473,-30.505272253507936
"4148 E Copper Point Dr, Meridian, ID 83642",925000,https://www.zillow.com/homedetails/4148-E-Copper-Point-Dr-Meridian-ID-83642/306076605_zpid/,4.0,3.0,2533,1,Price Change,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.583374,-116.34245,306076605,2000.0,2000.0,365.1796288985393,11100.0,185000.0,740000.0,5048.104472415806,925.0,269.79166666666663,100.0,100.0,160.0,100.0,6702.896139082473,345.2083333333335,-4702.896139082473,-30.505272253507936
"2752 E Sawtelle Peak, Meridian, ID 83642",929000,https://www.zillow.com/homedetails/2752-E-Sawtelle-Peak-Meridian-ID-83642/456980440_zpid/,7.0,5.0,3678,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55824,-116.36042,456980440,2000.0,2000.0,252.58292550299075,11148.0,185800.0,743200.0,5069.934113377605,929.0,270.9583333333333,100.0,100.0,160.0,100.0,6729.892446710938,340.04166666666674,-4729.892446710938,-30.548282755937166
"2177 E Mores Trail Dr, Meridian, ID 83642",948000,https://www.zillow.com/homedetails/2177-E-Mores-Trail-Dr-Meridian-ID-83642/241995281_zpid/,3.0,3.0,2628,1,Back on Market,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.556034,-116.3676,241995281,2000.0,2000.0,360.73059360730593,11376.0,189600.0,758400.0,5173.624907946146,948.0,276.49999999999994,100.0,100.0,160.0,100.0,6858.124907946146,315.5,-4858.124907946146,-30.74762599965915
"5379 S Mesa Trail Pl, Meridian, ID 83642",949000,https://www.zillow.com/homedetails/5379-S-Mesa-Trail-Pl-Meridian-ID-83642/339431053_zpid/,4.0,4.0,3230,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55576,-116.35732,339431053,2000.0,2000.0,293.80804953560374,11388.0,189800.0,759200.0,5179.082318186595,949.0,276.79166666666663,100.0,100.0,160.0,100.0,6864.873984853262,314.2083333333335,-4864.873984853262,-30.75789663763917
"938 E Crescendo St, Meridian, ID 83642",949777,https://www.zillow.com/homedetails/938-E-Crescendo-St-Meridian-ID-83642/462365046_zpid/,4.0,4.0,3035,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.550114,-116.38222,462365046,2000.0,2000.0,312.9413509060956,11397.324,189955.40000000002,759821.6,5183.322725943425,949.777,277.01829166666664,100.0,100.0,160.0,100.0,6870.118017610092,313.2047083333332,-4870.118017610092,-30.765861992510395
"3116 E Renwick St, Meridian, ID 83642",949825,https://www.zillow.com/homedetails/3116-E-Renwick-St-Meridian-ID-83642/462288775_zpid/,4.0,4.0,3301,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.55272,-116.3563,462288775,2000.0,2000.0,287.7385640714935,11397.9,189965.0,759860.0,5183.584681634967,949.8249999999999,277.03229166666665,100.0,100.0,160.0,100.0,6870.441973301633,313.1427083333333,-4870.441973301633,-30.76635363336383
"3428 S Tamayo Pl, Meridian, ID 83642",949900,https://www.zillow.com/homedetails/3428-S-Tamayo-Pl-Meridian-ID-83642/459224069_zpid/,4.0,4.0,2751,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.573593,-116.36999,459224069,2000.0,2000.0,345.29262086513995,11398.800000000001,189980.0,759920.0,5183.993987403,949.9000000000001,277.0541666666666,100.0,100.0,160.0,100.0,6870.948154069667,313.04583333333335,-4870.948154069667,-30.767121722726603
"479 Polar Bear, Meridian, ID 83642",949900,https://www.zillow.com/homedetails/479-Polar-Bear-Meridian-ID-83642/449637258_zpid/,5.0,4.0,4657,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.584682,-116.39961,449637258,2000.0,2000.0,203.97251449430965,11398.800000000001,189980.0,759920.0,5183.993987403,949.9000000000001,277.0541666666666,100.0,100.0,160.0,100.0,6870.948154069667,313.04583333333335,-4870.948154069667,-30.767121722726603
"5937 S Highmark Ave, Meridian, ID 83642",949900,https://www.zillow.com/homedetails/5937-S-Highmark-Ave-Meridian-ID-83642/461738852_zpid/,4.0,3.0,2885,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.5515,-116.38223,461738852,2000.0,2000.0,329.25476603119586,11398.800000000001,189980.0,759920.0,5183.993987403,949.9000000000001,277.0541666666666,100.0,100.0,160.0,100.0,6870.948154069667,313.04583333333335,-4870.948154069667,-30.767121722726603
"4630 E Goldstone Dr, Meridian, ID 83642",969000,https://www.zillow.com/homedetails/4630-E-Goldstone-Dr-Meridian-ID-83642/338346375_zpid/,4.0,3.0,2727,1,For sale by owner,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.5851,-116.33647,338346375,2000.0,2000.0,355.33553355335533,11628.0,193800.0,775200.0,5288.230522995586,969.0,282.62499999999994,100.0,100.0,160.0,100.0,6999.855522995586,288.375,-4999.855522995586,-30.95885772752685
"4718 E Goldstone Dr, Meridian, ID 83642",974000,https://www.zillow.com/homedetails/4718-E-Goldstone-Dr-Meridian-ID-83642/338346014_zpid/,4.0,3.0,2683,1,Active,FOR_SALE,,SINGLE_FAMILY,Meridian,ID,83642,43.58468,-116.33542,338346014,2000.0,2000.0,363.02646291464777,11688.0,194800.0,779200.0,5315.517574197833,974.0,284.0833333333333,100.0,100.0,160.0,100.0,7033.600907531166,281.91666666666674,-5033.600907531166,-31.007808465284388
